course_id,course_name
MTH10549,Thực tập đồ án thực tế
MTH10552,Phương pháp thể tích hữu hạn cho phương trình đạo hàm riêng của chuyển động chất lỏng
MTH10553,Tối ưu đa mục tiêu
MTH10595,Khóa luận tốt nghiệp
MTH10596,Lý thuyết nhóm
MTH10597,Đồ án tốt nghiệp
MTH10601,Lược sử tư duy Số và Đại số
MTH10602,Nhập môn lý thuyết vành chia
MTH10603,Nhập môn đại số nhóm
MTH10604,Phương pháp số trong tối ưu
MTH10605,Python cho khoa học dữ liệu
MTH10606,Xử lý dữ liệu lớn
MTH10607,Phương pháp số cho Khoa học dữ liệu
MTH10608,Trực quan hóa dữ liệu
MTH10609,Kiểm định phi tham số
MTH10610,Giải tích sai phân hữu hạn
MTH10611,Lập trình Symbolic cho các bài toán ứng dụng
MTH10612,Nhập môn cơ học
MTH10613,Cơ học phá hủy
MTH10614,Phương pháp biến phân trong tối ưu
MTH10615,Mô hình tối ưu trong kinh tế 
MTH10616,Seminar Tối ưu
MTH10617,Tổng quan toán - tin học và các chuyên ngành
MTH10619,Thống kê nhiều chiều
MTH10620,Seminar Khoa học dữ liệu
MTH10621,Mô hình thống kê tuyến tính nâng cao
MTH10622,Học sâu cho Khoa học dữ liệu
MTH10623,Hệ thống tư vấn
MTH10624,Phân tích mạng xã hội
MTH10625,Tính toán tài chính
MTH10626,Kỹ năng mềm
MTH10627,Khởi nghiệp
