course_id,course_name,credits,theoretical_credits,practical_credits,stage,optional_11,optional_28,compulsory_for_specific_11,course_group
MTH10219,Phân tích tài chính,4,4,0,3,TC,NO,NO,Thuật toán
MTH10220,Toán bảo hiểm cơ bản,4,4,0,3,TC,NO,NO,
MTH10221,Toán bảo hiểm nâng cao,4,4,0,3,TC,NO,NO,
MTH10310,Lập trình .Net,4,3,1,3,TC,NO,NO,
MTH10314,Quản lý đề án phần mềm,4,3,1,3,TC,NO,NO,
MTH10315,Phân tích và thiết kế hệ thống thông tin,4,3,1,3,TC,NO,NO,
MTH10316,Lập trình Java,3,2,1,3,TC,NO,NO,
MTH10318,Nhập môn trí tuệ nhân tạo,4,3,1,3,TC,BB,110309,Thuật toán
MTH10319,Lý thuyết mã hóa thông tin ,4,3,1,3,TC,NO,NO,Thuật toán
MTH10321,Tính toán hiệu năng,4,3,1,3,TC,NO,NO,
MTH10323,Xử lý đa chiều,4,3,1,3,TC,NO,NO,
MTH10324,Số học và thuật toán,4,3,1,3,TC,NO,NO,
MTH10325,Phân tích thuật toán,4,3,1,3,TC,NO,NO,Thuật toán
MTH10326,Seminar toán tin ứng dụng,4,4,0,3,TC,NO,NO,
MTH10327,Đồ họa máy tính,4,3,1,3,TC,NO,NO,
MTH10331,Biến hình và xử lý ảnh,4,3,1,3,TC,NO,NO,
MTH10333,Thiết kế Web,3,2,1,3,TC,NO,NO,
MTH10334,Lập trình Web với J2EE,4,3,1,3,TC,NO,NO,
MTH10335,Thiết kế mạng,4,3,1,3,TC,NO,NO,
MTH10336,Kiểm thử phần mềm 2,3,2,1,3,TC,NO,NO,
MTH10337,Lập trình Web với PHP,4,3,1,3,TC,NO,NO,
MTH10338,Chuyên đề J2EE,3,2,1,3,TC,NO,NO,
MTH10340,Nhận dạng và phân tích mẫu,4,3,1,3,TC,NO,NO,
MTH10341,Chuyên đề .NET,4,3,1,3,TC,NO,NO,
MTH10342,Bảo mật mạng không dây cục bộ,4,3,1,3,TC,NO,NO,
MTH10345,Lập trình Web ASP.NET,4,3,1,3,TC,NO,NO,
MTH10346,Seminar phương pháp toán,4,4,0,3,TC,NO,NO,
MTH10347,Lý thuyết thông tin,4,3,1,3,TC,NO,NO,
MTH10348,Thị giác máy tính,4,3,1,3,TC,NO,NO,
MTH10352,Tính toán song song,4,3,1,3,NO,TC,NO,Thuật toán
MTH10353,Nhập môn máy học,4,3,1,3,TC,BB,110309,Thuật toán
MTH10354,Máy học nâng cao,4,3,1,3,TC,TC,NO,Thuật toán
MTH10355,Tính toán di động,4,4,0,3,TC,NO,NO,
MTH10356,Trí tuệ nhân tạo nâng cao,4,4,0,3,TC,TC,NO,Thuật toán
MTH10357,Chuyên đề mạng,3,2,1,3,TC,NO,NO,
MTH10358,Khai thác dữ liệu,4,3,1,3,TC,BB,110309,Thuật toán
MTH10409,Giải tích phi tuyến,4,4,0,3,TC,NO,NO,
MTH10433,Giải tích số ,4,3,1,3,TC,TC,NO,Toán
MTH10411,Lý thuyết định tính phương trình vi phân,4,4,0,3,TC,NO,NO,
MTH10412,Hàm biến phức,4,4,0,3,TC,NO,NO,Toán
MTH10413,Phương trình toán lý,4,4,0,3,TC,NO,NO,
MTH10414,Phương trình đạo hàm riêng,4,4,0,3,TC,NO,NO,Toán
MTH10415,Giải tích phần tử hữu hạn,4,3,1,3,TC,NO,NO,Toán
MTH10417,Topo,4,4,0,3,TC,NO,NO,
MTH10418,Đại số đồng điều,4,4,0,3,TC,NO,NO,Toán
MTH10419,Đại số giao hoán,4,4,0,3,TC,NO,NO,Toán
MTH10420,Nhập môn lý thuyết vành ,4,4,0,3,TC,NO,NO,Toán
MTH10421,Đại số hiện đại,4,4,0,3,TC,NO,NO,Toán
MTH10422,Lý thuyết trường & Galois,4,4,0,3,TC,NO,NO,
MTH10423,Xác suất nâng cao,4,4,0,3,TC,NO,110208,XS-TK
MTH10424,Thống kê toán nâng cao,4,4,0,3,TC,NO,110208,XS-TK
MTH10426,Quá trình ngẫu nhiên,4,4,0,3,TC,NO,110208,XS-TK
MTH10427,Cơ học lý thuyết,4,4,0,3,TC,NO,NO,Toán
MTH10428,Cơ học môi trường liên tục,4,4,0,3,TC,NO,NO,
MTH10429,Phương pháp phần tử hữu hạn,4,3,1,3,TC,NO,NO,
MTH10430,Lý thuyết ổn định chuyển động & dao động phi tuyến,4,4,0,3,TC,NO,NO,
MTH10431,Chuyên đề giải tích,3,2,1,3,TC,NO,NO,
MTH10434,Cơ học vật rắn biến dạng,4,4,0,3,TC,NO,NO,Toán
MTH10435,Cơ học chất lỏng,4,4,0,3,TC,NO,NO,Toán
MTH10436,Giải tích thực,4,4,0,3,TC,NO,NO,Toán
MTH10438,Chuyên đề giải tích số,4,4,0,3,TC,NO,NO,
MTH10439,Phương pháp số trong Đại số tuyến tính,4,3,1,3,TC,NO,NO,
MTH10440,Phương pháp số trong Đại số tuyến tính nâng cao,4,3,1,3,TC,NO,NO,
MTH10444,Hệ phương trình đạo hàm riêng hyperbolic của định luật bảo toàn,4,3,1,3,TC,NO,NO,
MTH10445,Nhập môn phương pháp thể tích hữu hạn & ứng dụng,4,3,1,3,TC,NO,NO,
MTH10446,Vận trù học,4,4,0,3,TC,TC,NO,Thuật toán
MTH10447,Lý thuyết quy hoạch phi tuyến,4,4,0,3,TC,NO,NO,Thuật toán
MTH10449,Quy hoạch tuyến tính,4,3,1,3,TC,TC,NO,Thuật toán
MTH10450,Thuật toán tối ưu,4,4,0,3,TC,TC,NO,Thuật toán
MTH10451,Seminar Giải tích,4,4,0,3,TC,NO,NO,
MTH10460,Các phép biến đổi tích phân và ứng dụng,4,4,0,3,TC,NO,NO,
MTH10462,Lý thuyết độ đo,4,4,0,3,TC,NO,NO,Toán
